address	vendor
00081C	@pos.com
000604	@Track Communications
700258	01DB-METRAVIB
C49313	100fio networks technology llc
080024	10NET COMMUNICATIONS/DCA
000B10	11wave Technonlogy
A85EE4	12Sided Technology, LLC
005029	1394 PRINTER WORKING GROUP
00A02D	1394 Trade Association
189552	1MORE
6CCE44	1MORE
9C9789	1MORE
78A7EB	1MORE
003070	1Net Corporation
54369B	1Verge Internet Technology (Beijing) Co.
443719	2 Save Energy
0011B2	2001 Technology
EC9681	2276427 Ontario
001387	27M Technologies AB
148919	2bps
28F358	2C - Trifonov & Co
3C3F51	2CRSI
0016A9	2EI
B8B7D7	2GIG Technologies
001B8A	2M Electronic A/S
001929	2M2B Montadora de Maquinas Bahia Brasil LTDA
7C1EB3	2N TELEKOMUNIKACE a.s
001199	2wcom Systems GmbH
0022A4	2Wire
982CBE	2Wire
640F28	2Wire
001495	2Wire
F82C18	2Wire
60C397	2Wire
00D09E	2Wire
0019E4	2Wire
001AC4	2Wire
001B5B	2Wire
001EC7	2Wire
002650	2Wire
002351	2Wire
3CEA4F	2Wire
DC7FA4	2Wire
749DDC	2Wire
C0830A	2Wire
383BC8	2Wire
60FE20	2Wire
00183F	2Wire
002456	2Wire
14EDBB	2Wire
34EF44	2Wire
B0E754	2Wire
B8E625	2Wire
001D5A	2Wire
00253C	2Wire
000D72	2Wire
001288	2Wire
00217C	2Wire
001FB3	2Wire
28162E	2Wire
F81897	2Wire
94C150	2Wire
000FA2	2xWireless
0022F0	3 Greens Aviation Limited
001840	3 Phoenix
385319	34ED LLC DBA Centegix
B4EF1C	360 AI Technology
E4BAD9	360 Fly
000556	360 Systems
000E60	360SUN Digital Broadband Corporation
40C0EE	365mesh Pty
B06CBF	3ality Digital Systems GmbH
2C029F	3ALogics
000F05	3B SYSTEM
1C7E51	3bumen.com
005004	3COM
000103	3COM
02C08C	3COM
000A5E	3COM
00105A	3COM
006097	3COM
006008	3COM
000102	3COM
002654	3COM
0050DA	3COM
000476	3COM
000475	3COM
00608C	3COM
00A024	3COM
0020AF	3COM
00104B	3COM
00068C	3COM
02608C	3COM
00D0D8	3COM
00029C	3COM
00051A	3COM EUROPE
08004E	3COM EUROPE
00301E	3COM EUROPE
00040B	3COM EUROPE
4001C6	3COM EUROPE
00D096	3COM EUROPE
002257	3COM EUROPE
005099	3COM EUROPE
002473	3COM EUROPE
009004	3COM EUROPE
20FDF1	3COM EUROPE
001EC1	3COM EUROPE
001AC1	3Com
0012A9	3Com
00186E	3Com
00147C	3Com
000BAC	3Com
000A04	3Com
001CC5	3Com
0016E0	3Com
000FCB	3Com
000E6A	3Com
000D54	3Com
00603D	3CX
BC25F0	3D Display Technologies Co.
8C4B59	3D Imaging & Simulations Corp
C0A364	3D Systems Massachusetts
0021C5	3DSP Corp
0007D5	3e Technologies Int;.
00A0B5	3H TECHNOLOGY
CCF538	3isysnetworks
0009B5	3J Tech. Co.
0016A1	3Leaf Networks
080021	3M COMPANY
000649	3M Deutschland GmbH
0015C2	3M Germany
3863F6	3NOD MULTIMEDIA(SHENZHEN)
00226F	3onedata Technology Co.
DC3130	3onedata Technology Co.
0002AC	3PAR data
5C56ED	3pleplay Electronics Private Limited
A8556A	3S System Technology
0017A1	3soft
0008DE	3UP Systems
70E139	3view
00050E	3ware
001A8E	3Way Networks
0013CF	4Access Communications
142475	4DReplay
000E56	4G Systems GmbH & Co. KG
001FD4	4IPNET
00187B	4NSYS Co.
0011C1	4P MOBILE DATA PROCESSING
0022B2	4RF Communications
D4BD1E	5VT Technologies,Taiwan
00114E	690885 Ontario
ACEE3B	6harmonics
0009C0	6WIND
4427F3	70mai
B859C8	70mai
00142E	77 Elektronika Kft
38D7CA	7HUGS LABS
04848A	7INOVA TECHNOLOGY LIMITED
B89919	7signal Solutions
00184F	8 Ways Technology Corp
0011ED	802 Global
001BE5	802automation Limited
002282	8086 Consultancy
E417D8	8BITDO TECHNOLOGY HK LIMITED
182B05	8D Technologies
C49300	8Devices
7C1A03	8Locations Co.
101D51	8Mesh Networks Limited
0090A0	8X8
701D08	99IOT Shenzhen
B8E779	9Solutions Oy
001B7C	A & R Cambridge
001534	A Beltrónica-Companhia de Comunicações, Lda
000539	A Brand New World in Sweden AB
004008	A PLUS INFO Corporation
001566	A-First Technology Co.
001A40	A-FOUR TECH CO.
000FCA	A-JIN TECHLINE CO
0005C1	A-Kyung Motion
001A9F	A-Link
00267D	A-Max Technology Macao Commercial Offshore Company Limited
000382	A-One Co.
00213F	A-Team Technology
001667	A-TEC Subsystem
00E0FD	A-TREND TECHNOLOGY CO.
001FD8	A-TRUST COMPUTER Corporation
0007A7	A-Z
ECFC55	A. Eberle GmbH & Co. KG
08184C	A. S. Thomas
00156E	A. W. Communication Systems
3806B4	A.D.C. GmbH
002506	A.I. ANTITACCHEGGIO ITALIA SRL
C47DFE	A.N. Solutions GmbH
0C8411	A.O. Smith Water Products
00E079	A.T.N.R
080059	A/S MYCRON
00091F	A&D Co.
8C53F7	A&D ENGINEERING CO.
C03580	A&R TECH
40040C	A&T
94DD3F	A+V Link Technologies, Corp
001FA0	A10 Networks
001043	A2 Corporation
002280	A2B Electronics AB
001241	a2i marketing center
F8BE0D	A2UICT
FCE186	A3M Co.
0021FA	A4SP Technologies
0006B9	A5TEK Corp
0024AB	A7 Engineering
000EE7	AAC ELECTRONICS CORP
0030D4	AAE Systems
000732	AAEON Technology
0017D9	AAI Corporation
002672	AAMP of America
009057	AANetcom
E4776B	AARTESYS AG
0010BC	Aastra Telecom
00020F	AATR
702F97	Aava Mobile Oy
003097	AB Regin
C4E92F	AB Sciex
00A2FF	abatec group AG
000C01	Abatron AG
000C62	ABB AB, Cewe-Control
54F876	ABB AG
001B45	ABB AS, Division Automation Products
78AB60	ABB Australia
002459	ABB Automation products GmbH
00022C	ABB Bomem
807A7F	ABB Genway Xiamen Electrical Equipment CO.
5031AD	ABB Global Industries and Services Private Limited
001386	ABB Inc/Totalflow
000023	ABB INDUSTRIAL SYSTEMS AB
60391F	ABB
9803A0	ABB n.v. Power Quality Products
000C02	ABB Oy
0021C1	ABB Oy / Medium Voltage Products
001C01	ABB Oy Drives
